,review_cnt,is_hot,publish_time,id,is_original,pic_urls,profilers_id,author_url,site_id,fans_cnt,interaction_cnt,gender,is_robot,uid,update_time,other_data,media_interaction_copy_cnt,topics,reposts_cnt,url,is_main_post,like_cnt,keywords,image_stickers,profilers_name,note_ats,publish_note_cnt,is_ad,author,fav_cnt,site_name,media_interaction_cnt,story_lab,desc,sentiment,collection_cnt,title,video_tags,content,red_id,video_cnt,item_id,follow_cnt,coin_cnt,data_type,user_location,entity_keywords.keyword,entity_keywords.type,cooperation_brand_names
104359,0.0,,2021-04-23 09:22:00,6082216a000000002103e4bd,普通笔记,"[http://sns-img-hw.xhscdn.com/03c7d2d0-6895-345f-bbfd-bb04e6206c38?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/006f54cc-ba42-3ea1-841b-dd8a38c71365?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/00077fd1-0a25-3ad7-a673-a81069f9ae86?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/6c8372c6-b918-3c4f-b47b-f443f5d43945?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/b0a28cec-ad57-3fa5-ac0b-1e151af34ec6?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/0d10f19f-a584-3f0f-acc4-612fde0a4c7d?imageView2/2/w/1080/format/webp, http://sns-img-hw.xhscdn.com/0d0af6e5-813d-3bf1-bb37-9856cf5013eb?imageView2/2/w/1080/format/webp]",[860308],http://www.xiaohongshu.com/user/profile/5bf56e0866c87b0001eed118,146510,10003,0,女,否,5bf56e0866c87b0001eed118,2021-04-27 03:14:00,"{""duration_seconds"":"""",""board_name"":"""",""video_url"":"""",""author"":""韩小腰"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""三亚旅行\""]"",""video_tag"":""[]""}",0.0,,0.0,https://www.xiaohongshu.com/discovery/item/6082216a000000002103e4bd,主贴,0,"[""三亚"",""小海豚"",""海鲜"",""落日"",""餐厅""]",[],[小红书],[],357,否,韩小腰,0.0,小红书,0.0,,宝宝们的日常分享,0,8964,落日攻略三亚看日落绝美地点及美食,,落日攻略三亚看日落绝美地点及美食  三亚能看到日落的地方很多，看完落日之后还可以顺路，看看三亚湾的夜景。  ✅在天涯海角看日落  天涯海角景区内有很多婚纱摄影的布景，布景配合着落日，拍出来特别好看，包括大小洞天也一样，也可以看落日，拍美照。⚠️注意：景点下午就会18:30关门哟  ✅在蜈支洲岛看日落  蜈支洲岛 岛上有酒店，住一晚，看日出日落，还算比较划算吧。岛上的酒店大约1000+不过设施设备就一般般了，比不上海棠湾同价位的酒店。  蜈支洲岛是最东边，所以看日出也很好。  ✅在西岛看日落  西岛岛上没有酒店，但是岛上民宿很多。民宿从200-500不等，看日落经济实惠，傍晚还能去赶海。岛上不少民宿就在海边，出门就是大海，看一场落日和日出，我感觉可以呢。  ✅在椰梦长廊看日落  亚洲第一海滨风景大道，热带植物园林景色美到爆，随随便便拍张照都是电影定妆照的高大上。  ·日落与美食更相配～～  小海豚连锁海鲜  门店都在热门商圈，门店还提供5km内免费接送  #小海豚连锁海鲜餐厅(3号店)[地点]#  #小海豚连锁海鲜餐厅（海棠湾店）[地点]#  #小海豚连锁海鲜餐厅(1号店)[地点]#  #小海豚连锁海鲜餐厅（亚龙湾店）[地点]#  #小海豚连锁海鲜餐厅（三亚湾店）[地点]#  海鲜全是当天的新鲜海鲜，赶海没抓到海鲜，来这里吃新鲜的，味道特别赞。  阿浪海鲜  二十三年的连锁老品牌，拼的是口碑和人气。口味符合大部分人群，外场空间很大，能够惬意の吃海鲜。  #阿浪海鲜连锁餐厅(海棠湾亚特兰蒂斯店)[地点]#  #阿浪海鲜连锁餐厅平价店(第一市场店)[地点]#  #阿浪海鲜连锁加工(亚龙湾店)[地点]#  萌哒哒椰子鸡  听名字就很CUTE  味道也很鲜美可口  用料也很讲究 用当地散养180天的文昌鸡 三个海南椰青现开➕椰树矿泉水当作锅底，清甜不腻超好喝  #萌哒哒椰子鸡(情人桥店)[地点]#  #萌哒哒椰子鸡(亚龙湾森林公园店)[地点]#  #萌哒哒椰子鸡(三亚湾店)[地点]#  #三亚美食#三亚落日#三亚旅游#三亚旅行#三亚#  三亚旅行,387839936,12,6082216a000000002103e4bd,7909,48895,电商笔记,中国 上海 黄浦,,,
67390,90.0,,2021-02-16 10:29:00,602b2dfe000000002103cbf2,视频笔记,"[""http://sns-img-hw.xhscdn.com/23282fa2-74a7-3f9d-b0c5-b2a51b31d07e?imageView2/2/w/1080/format/webp""]","[""859928""]",http://www.xiaohongshu.com/user/profile/58f4db166a6a69755f139b83,146510,78789,481,女,否,58f4db166a6a69755f139b83,2021-03-02 10:31:00,"{""duration_seconds"":""319.0"",""board_name"":"""",""video_url"":""http://sns-video-hw.xhscdn.com/b2553ad4c5cee5c7f5d58f2988e4bcd8765ba3fe_r_ln"",""author"":""T姐尝护肤3.6直播"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""video_tag"":""[\""我的护肤日常\""]""}",296.0,,5.0,https://www.xiaohongshu.com/discovery/item/602b2dfe000000002103cbf2,主贴,217,"[""三明治"",""急救"",""滤镜"",""面膜""]",[],"[""index_982673_987672""]",[],553,否,T姐尝护肤,169.0,小红书,296.0,,专注抗敏100年…（成功把极度敏感修复成了轻度）对新出的护肤品总有种抑制不住的尝鲜心态。\n📮tiffany331@outlook.com,0,83424,无滤镜三明治面膜—干皮急救祛黄王炸组合！,,无滤镜三明治面膜—干皮急救祛黄王炸组合！,180386908,485,602b2dfe000000002103cbf2,379,114351,电商笔记,上海  卢湾,,,
87945,68.0,,2021-02-19 17:03:00,602f7eda000000002103544e,普通笔记,"[""http://sns-img-qn.xhscdn.com/b6105185-9f65-35f2-8414-0d340c143695?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/84193ade-72b2-366a-a0dd-e09c717d5954?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/1d5a1583-8a1a-3cf9-a699-172c2be68162?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/99f803bb-50c9-3271-88c0-2bb27878608b?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/21e84819-990d-3e02-8dfd-be2e7d370696?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/9df94da0-22f4-32ee-9397-fbcfe3bf3530?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/f81428ac-e565-3a16-a2c6-7acf89ae118e?imageView2/2/w/1080/format/webp"",""http://sns-img-qn.xhscdn.com/7853e2d2-d45b-3192-b5b8-e594d9eecef0?imageView2/2/w/1080/format/webp""]","[""859912""]",http://www.xiaohongshu.com/user/profile/587aec775e87e766531d19b2,146510,20104,258,女,否,587aec775e87e766531d19b2,2021-03-05 17:34:00,"{""duration_seconds"":"""",""board_name"":"""",""video_url"":"""",""author"":""AWyXx"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""video_tag"":""[]""}",173.0,,3.0,https://www.xiaohongshu.com/discovery/item/602f7eda000000002103544e,主贴,117,"[""买手"",""品牌"",""小众"",""白裙"",""高新""]",[],"[""index_942673_947672""]",[],288,否,AWyXx,70.0,小红书,173.0,,日常分享💕\n✔️819044037@qq.com,1,66406,春夏穿搭·小众不撞款！西安买手店️太绝了,,春夏穿搭·小众不撞款！西安买手店️太绝了  贩卖时尚·女孩子的快乐真的好简单！！！  假期跟姐妹来高新大都荟逛街发现前段时间敲级喜欢的买手店竟然开在了临街商铺！！！chicdan是什么神仙宝藏买手店啊！  害得我又发现了几个小众设计师品牌！！！压岁钱都被掏空！！！  -  Evening真的好嗲！黑色高开叉裙裙也太️了！！！我真的一眼就看上了！而且巨巨巨显身材！！！暗黑风➕甜美的感觉融合的太绝了！  deepmoss这个小白裙也是无敌遮肉显瘦了～而且真的巨好穿！配上冰雪蓝的泡泡袖，少女感一下就出来了，我爱惨！！！  它家新店的整个装修风格太️了！一边逛衣服一边看展的感觉～而且听主理人说后续还会引进更多的品牌哦！！而且展览也会更新！！！时髦精们可以冲了  -  店名·CHIC DAN  地址·高新大都荟1号楼底  营业时间·10:00-22:00,634156787,3,602f7eda000000002103544e,735,82632,电商笔记,陕西  西安,泡泡袖|小白裙|高开叉裙|衣服|女孩子|CHIC DAN|Evening|deepmoss|显身材|显瘦|遮肉|黑色|冰雪蓝|高新大都荟|高新大都荟1号楼底|西安|暗黑风|春|夏,品类|品类|品类|品类|人群|品牌|品牌|品牌|功效|功效|功效|颜色|颜色|地名|地名|地名|性格/设计/形态|场景|场景,
6856,176.0,,2021-04-30 13:51:00,608b9ae2000000000102c821,视频笔记,[http://sns-img-qn.xhscdn.com/e95d95dd-8b32-3d4f-9b30-cf39492653d2?imageView2/2/w/1080/format/webp],[872328],http://www.xiaohongshu.com/user/profile/5921435482ec393e403743d8,146510,1831130,1064,男,否,5921435482ec393e403743d8,2021-05-04 03:33:00,"{""duration_seconds"":""49.0"",""board_name"":"""",""video_url"":""http://sns-video-qn.xhscdn.com/b2044b6f57b7541836f65b9ff2a4c1f4bc8a476b_r_ln"",""author"":""韩承浩"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""小清单\""]"",""video_tag"":""[\""小清单\""]""}",1061.0,,3.0,https://www.xiaohongshu.com/discovery/item/608b9ae2000000000102c821,主贴,777,"[""产品"",""清单"",""福利"",""超值价"",""链接""]",[],[小红书],[韩承浩的小号],813,是,韩承浩,108.0,小红书,1061.0,,每周三直播19点直播！ \n一个用心做美妆的化妆师&护肤达人 \n📮Leobeauty@qq点com,0,1452605,护肤好物超值价，5.1宠粉福利,,护肤好物超值价，5.1宠粉福利  @韩承浩的小号 直播能上的链接有限，可能你们蹲了很久还是没有买到自己想要的产品。现在有一个机会，可以在小红书搜索 ：韩承浩的小清单，或者点击视频下方的链接，直接跳转到韩佳人专属福利页面，大家可以点击右上角的订阅按钮进行订阅，里面都是我自己店铺的产品，价格都是直播超值价！  小清单,LeoBeauty,787,608b9ae2000000000102c821,7,5296557,电商笔记,韩国  首尔,,,
127224,0.0,,2021-04-13 18:35:00,6075740d0000000021039a70,普通笔记,"[http://sns-img-qc.xhscdn.com/4f57b74f-7f93-30ec-b7ad-77e2537bacb1?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/63b3a15a-263c-3165-973e-38f604a0540b?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/30ac5549-0781-3083-869b-124788ffa31f?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/7f750d39-931d-354f-8d1f-0ca59e6969bf?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/7ed23ff2-3bfa-3145-bd42-e39753e8f80b?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/987af023-e249-3673-9a3a-51b6f586f391?imageView2/2/w/1080/format/webp, http://sns-img-qc.xhscdn.com/e47930dc-279e-34c6-ac29-128fa9078663?imageView2/2/w/1080/format/webp]",[844948],http://www.xiaohongshu.com/user/profile/5d6662640000000001005f64,146510,10754,22,女,否,5d6662640000000001005f64,2021-04-17 02:32:00,"{""duration_seconds"":"""",""board_name"":"""",""video_url"":"""",""author"":""青柠檬"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""三亚旅行\""]"",""video_tag"":""[]""}",22.0,,0.0,https://www.xiaohongshu.com/discovery/item/6075740d0000000021039a70,主贴,21,"[""中服"",""小海豚"",""椰子"",""海鲜"",""餐厅""]",[],[小红书],[],817,否,青柠檬,1.0,小红书,22.0,,护肤＃生活＃好物分享！☀☀☀☀,0,16400,三亚免税店，中服免税店真的不如不逛吗？,,三亚免税店，中服免税店真的不如不逛吗？  三亚现在有三家免税店，被拿出来比较是难免的。  但是中服三亚国际免税购物公园并没有“不如不逛”那么惨啊！  ·  中服目前入驻的品牌不多，健康类、数码类占优势，  但是他家开业是蕞匆忙的一家，后续估计还有惊喜    目前中服的香化品牌都是比较小众一些的，  大品牌目前我看到了黛珂和sk2，后续的2期不知道还会有哪些品牌  也有很多门店正在装修，过段时间会开业吧。  而且中服宣传说会引进一些海南离岛免税比较稀缺的一线国际品牌，  所以大家姑且等等看看。  ·  中服的香化优势不算很好，  但数码的品牌比较全，大部分热门品牌都有，  三星，索尼，swtich，外星人，大疆等。  三亚对无人机很不友好，想顺手买个大疆在周边飞？偶劝大噶放弃幻想啊。  ·  大健康类是中服的特色，  健康食品、保健品、医疗器械、按摩仪、滋补品、电动牙刷等品类，  ·  另外，中服的折扣满减门槛低，  消费满800就能返88元，线上线下都可以，  这样一部分只打算稍微买点的旅客就可以轻松get满返。  而且中服免税店在市区内，距离三亚湾和大东海都比较近，晚上营业到11:00  在附近吃完饭，顺路来逛逛就可以，不耽误时间。  ·  中服附近的美食  阿浪海鲜  推荐餐品：香辣芒果螺、蒜蓉粉丝龙虾、清蒸石斑鱼  芒果螺平价鲜美饱满，很实惠，龙虾看似个头不大，但是虾肉很嫩，很饱满。❤️  #阿浪海鲜连锁加工(亚龙湾店)[地点]#  #阿浪海鲜连锁餐厅(海棠湾亚特兰蒂斯店)[地点]#  #阿浪海鲜连锁餐厅平价店(第一市场店)[地点]#  ·  小海豚连锁海鲜  推荐餐品：香辣蟹、椒盐皮皮虾、白灼基围虾  基围虾鲜嫩，全是活虾，口感有点甜甜的，鲜辣蟹很开胃，椒盐皮皮虾酥香好吃。❤️  #小海豚连锁海鲜餐厅（三亚湾店）[地点]#  #小海豚连锁海鲜餐厅（海棠湾店）[地点]#  #小海豚连锁海鲜餐厅(1号店)[地点]#  #小海豚连锁海鲜餐厅（亚龙湾店）[地点]#  #小海豚连锁海鲜餐厅(3号店)[地点]#  ·  萌哒哒椰子鸡  推荐餐品：椰子鸡、麻辣鸡脚、藤桥排骨  店里全是海南特色菜，还有特色甜品，环境也很好，是女孩子们喜欢的网红餐厅。✌✌  #萌哒哒椰子鸡(三亚湾店)[地点]#  #萌哒哒椰子鸡(情人桥店)[地点]#  #萌哒哒椰子鸡(亚龙湾森林公园店)[地点]#  三亚旅行,920018513,31,6075740d0000000021039a70,26,71922,电商笔记,中国 广东 广州,健康食品|滋补品|无人机|海鲜|按摩仪|电动牙刷|甜品|保健品|医疗器械|黛珂|大疆|索尼|阿浪|外星人|sk2|swtich|三星|开胃|甜甜的|鲜辣|香辣|麻辣|芒果螺|鸡脚|活虾|石斑鱼|基围虾|皮皮虾|椒盐|龙虾|椰子鸡|蟹|排骨|虾肉|蒜蓉|白灼|清蒸|亚特兰蒂斯|三亚湾|亚龙湾|三亚|大东海|海南|海棠湾|三亚国际免税购物公园|鲜美|酥香|鲜嫩,品类|品类|品类|品类|品类|品类|品类|品类|品类|品牌|品牌|品牌|品牌|品牌|品牌|品牌|品牌|功效|气味/味道|气味/味道|气味/味道|气味/味道|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|成分/原料/材质|科技/工艺|科技/工艺|地名|地名|地名|地名|地名|地名|地名|地名|触感/口感/体验|触感/口感/体验|触感/口感/体验,
29854,89.0,,2021-02-05 19:07:00,6013c238000000000101ee06,普通笔记,"[""http://sns-img-hw.xhscdn.com/6eccf547-61df-3bb0-9c14-81dba214e59a?imageView2/2/w/1080/format/webp"",""http://sns-img-hw.xhscdn.com/4ad1966a-239a-310c-b388-74c626c28488?imageView2/2/w/1080/format/webp"",""http://sns-img-hw.xhscdn.com/0c499ef9-07c7-33d7-9a42-4b4d7c9aea28?imageView2/2/w/1080/format/webp"",""http://sns-img-hw.xhscdn.com/69eef39a-0546-3c61-9575-f692b360cb43?imageView2/2/w/1080/format/webp"",""http://sns-img-hw.xhscdn.com/b292b333-593f-381c-a6c6-5a2b911b425c?imageView2/2/w/1080/format/webp"",""http://sns-img-hw.xhscdn.com/74559671-98c3-343e-95c2-2a9d7163f5a7?imageView2/2/w/1080/format/webp""]","[""859904""]",http://www.xiaohongshu.com/user/profile/5dc4246300000000010083a9,146510,66043,601,女,否,5dc4246300000000010083a9,2021-02-19 19:17:00,"{""duration_seconds"":"""",""board_name"":"""",""video_url"":"""",""author"":""鹿十七儿"",""board_id"":"""",""cooperation_brand"":""[\""Dr.Irean eras\""]"",""goods_id_list"":""[]"",""video_tag"":""[]""}",300.0,,2.0,https://www.xiaohongshu.com/discovery/item/6013c238000000000101ee06,主贴,283,"[""姐妹"",""富家"",""护手霜"",""艾琳"",""雪松""]",[],"[""index_922673_927672""]",[],486,否,鹿十七儿,227.0,小红书,300.0,,热爱分享各种生活 📮gaoyaer2020@qq.com,1,317477,巨！出门被问800遍的喷了啥香！真富家小姐千金香！,,巨！出门被问800遍的喷了啥香！真富家小姐千金香！  姐妹们我快乐了！！  就是爱买各种香香的东西涂涂涂哈哈哈～  秋冬了护手霜真的要搞起来！！  入了Dr.艾琳护手霜  讲真的是被颜值吸引的哈哈哈！  三支～贼拉简约ins风～  会有白花茶、茉莉、雪松润泽 三种护手霜～  起来属于润润滴～乳霜质感  好推开也好吸收～  味道真滴绝～属于不常见但贼高级的香～  真上头哈哈哈  姐妹们！快去冲啦～,232611966,60,6013c238000000000101ee06,326,641059,电商笔记,中国,,,"[""Dr.Irean eras""]"
47091,46.0,,2021-03-29 22:20:00,6061e228000000002103cc37,视频笔记,"[""http://sns-img-hw.xhscdn.com/2a3512a8-08c6-3269-901e-ee43a76ac42e?imageView2/2/w/1080/format/webp""]","[""852421""]",http://www.xiaohongshu.com/user/profile/565310cda75c955e59bf4cfa,146510,50807,101,女,否,565310cda75c955e59bf4cfa,2021-04-12 22:42:00,"{""duration_seconds"":""75.0"",""board_name"":"""",""video_url"":""http://sns-video-hw.xhscdn.com/217ba99765fac0579a6c27a2cfc2924e286ff59d_r_ln"",""author"":""馬梓惠Meroy"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""每日护肤品分享\""]"",""video_tag"":""[\""每日护肤品分享\""]""}",101.0,,0.0,https://www.xiaohongshu.com/discovery/item/6061e228000000002103cc37,主贴,29,"[""kang"",""光泽感"",""皮肤"",""肌肤"",""面膜""]",[],"[""index_952673_957672""]",[],418,否,馬梓惠Meroy,26.0,小红书,101.0,,❤美护 | 时尚 | ootd | 探店 574021637@qq.com,1,63285,焕亮肌肤，美白面膜必须有它的名字！,,焕亮肌肤，美白面膜必须有它的名字！  皮肤常年就是暗沉无光的状态，再加上不太注意fang晒，整个人看起来都黑黄黑黄的~  ✦  给你们介绍我的164.88°肌频九胜肽瓷亮面膜，说起面膜喜爱清单，那可得有它的名字。  ✦  这款面膜膜布是这种优质桉绒膜布，肤感真的很好，绵软透气，敷过之后可以看到虽然刚用过但是皮肤状况一下子就不一样了，本来暗沉的肌肤变得水.嫩透亮多了，还透着自然的光泽感。  ✦  而且它还能kang衰呢，先补.水kang衰，给肌肤补充所需要的水分，让肌肤一直滋润，然后是环境kang衰，就像是给肌肤加上一层保护罩，来阻挡外界伤害，接着是bing理kang衰，就比较适合我们干敏肌了，效果真的不错。  ✦  还好我及时拿出这款面膜开始用，所以现在的皮肤看起来还是不错的，肉眼可见的白嫩了不少，干纹细纹也淡了很多，感觉自己这次美.白和kang衰还是很成功的✌️  ✦  护肤是一条很长的漫漫路程，不jin要坚.持，选对产品也是很重要的一个环节，不然有可能会适得其反，姐妹们也可以试一试我这款哦~  每日护肤品分享,102136518,92,6061e228000000002103cc37,95,84326,电商笔记,大连,护肤品|面膜|肌频|肌频九胜肽瓷亮面膜|美白|白嫩|美.白|补.水kang衰|透亮|焕亮肌肤|阻挡外界伤害|kang衰|滋润|干纹细纹也淡了|瓷亮|水.嫩|光泽|桉绒膜布|九胜肽|干敏肌|无光|暗沉|自然|透气|绵软,品类|品类|品牌|产品|功效|功效|功效|功效|功效|功效|功效|功效|功效|功效|功效|功效|功效|成分/原料/材质|成分/原料/材质|病症/体质|病症/体质|病症/体质|性格/设计/形态|触感/口感/体验|触感/口感/体验,
27207,56.0,,2021-04-12 20:33:00,60743e1c00000000010270bf,普通笔记,"[http://sns-img-qn.xhscdn.com/692dce10-9ca4-323a-80be-c25a66c5753e?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/34f21454-b68a-354a-830e-2d7c5292488f?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/8dfde7ae-da91-3b74-923a-0e40e8ddc74a?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/31f1ac54-d832-325e-92b8-df6c04267cd0?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/9d5fa0ff-e101-33ff-912a-a0c5a22458b7?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/6f160470-cb5e-3a23-a237-a212dae92f8a?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/c2ba0210-6dc8-3a4d-8600-90aada65bc85?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/30dc67e7-4954-3c50-9620-d8055af84194?imageView2/2/w/1080/format/webp, http://sns-img-qn.xhscdn.com/a9279347-bfa5-37a7-865f-bf6639373658?imageView2/2/w/1080/format/webp]",[842921],http://www.xiaohongshu.com/user/profile/577763b950c4b440ca2d579e,146510,265828,272,女,否,577763b950c4b440ca2d579e,2021-04-16 04:35:00,"{""duration_seconds"":"""",""board_name"":"""",""video_url"":"""",""author"":""Mecca"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""每日穿搭\""]"",""video_tag"":""[]""}",272.0,,0.0,https://www.xiaohongshu.com/discovery/item/60743e1c00000000010270bf,主贴,194,"[""王琳"",""程度"",""穿搭"",""美男"",""范冰冰""]","[摄影师拍的高清大图, 雪姨好美呢, ABeckyBB, Olley胡欧力, 上海时装周, 一首倒带开场哈哈, 视频截图]",[小红书],"[穿搭薯, 生活薯, 日常薯]",341,否,Mecca,22.0,小红书,272.0,,"◾️法国高商硕士毕业,坐标上海\n◾️小个子韩系穿搭| 干敏皮护肤| 美妆| Lifestyle｜ 📮 meccayang@sina.com",1,184799,上海时装周穿搭记‍♀️看到雪姨范冰冰啦,,上海时装周穿搭记‍♀️看到雪姨范冰冰啦  这两天上海时装周又忙死啦～ 前两天去看了ZHANG SHUAI的秀，一如既往生动优雅。  和去年一样范冰冰也来啦，单论美貌，以前知道她美但不知道真人竟然这么美[捂脸R][捂脸R]她转头看过来的瞬间，我还是第一次被一个人美到震撼的程度[失望R][失望R][失望R]，其他方面就不谈了。  雪姨脸也太小了，皮肤超级白，手都是雪白雪白的程度，果然比上镜更好看更有气质。严屹宽不多说了吧，就 千年美男[微笑R][微笑R]  和博主们看秀大家一起唠嗑很开心，每个人都绝绝子～  ———  OOTD穿搭：  上衣：Dion Lee  裤子：Silth boutique  鞋子：Alexander Wang  #上海时装周 #范冰冰 #严屹宽 #王琳  @穿搭薯  @生活薯  @日常薯  每日穿搭,104327663,117,60743e1c00000000010270bf,102,432716,电商笔记,上海  静安,上衣|鞋子|裤子|Silth boutique|Dion Lee|Alexander Wang|ZHANG SHUAI|雪白|上海|范冰冰|王琳|严屹宽,品类|品类|品类|品牌|品牌|品牌|品牌|颜色|地名|人名|人名|人名,
113309,0.0,,2021-04-28 19:26:00,608999999999999955959808,未知,"[https://ci.xiaohongshu.com/b781dcb9-bff0-0f59-fbf6-82989841b7fd?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/a9ed92a3-c300-2424-273b-096fb1cf4f37?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/4aaf5c36-99a0-56dc-8d3c-e738ba2260c7?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/c8ef4b7e-0bdf-4d37-f39f-d0d18295d9f4?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/3231c85f-f710-0eb8-0cce-c627d7aceb69?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/0f2f0828-f539-b313-1427-9cf9c8a07435?imageView2/2/w/1080/format/jpg, https://ci.xiaohongshu.com/85743d77-4f5c-294d-0a0b-43633fc96090?imageView2/2/w/1080/format/jpg]",[868476],http://www.xiaohongshu.com/user/profile/5e575d3a0000000001007552,146510,27821,11,女,否,5e575d3a0000000001007552,2021-05-02 04:11:00,,11.0,,,https://www.xiaohongshu.com/discovery/item/608946800000000021037630,主贴,6,"[""功效"",""皮肤"",""精华"",""肌肤"",""资生堂""]",,[小红书],,92,是,糖不甜,5.0,小红书,11.0,,糖不甜🌈,1,31087,我相信美白是每个小姐姐的永恒话题吧～～,,选择一款美白精华也是尤为的重要了，那我也一直在做功课.[偷笑R][偷笑R][偷笑R]  	  根据我皮肤的情况选择了一款各方面都让我很满意的精华～～噔噔噔噔就是这个资生堂泊美耀白瓶～[斜眼R][斜眼R][斜眼R]  	  那我是30+年龄的，这款精华又能满足我肌肤焕白要求，同时还兼顾了抗衰功能哦[哇R][哇R][哇R]  	  资生堂品牌有着她御用的科技成分4MSK，还有三重功效维生素C衍生物，可以淡化，抑制黑色素的产生哦[飞吻R][飞吻R][飞吻R]  	  像我平时基本每天都要熬夜到凌晨三四点，皮肤暗沉无光，长斑长痘，那这款我大概使用了一个月左右的时间，～就可以肉眼感觉到皮肤从内到外的一个焕白透亮的明显改变，常年的痘印也消退了很多，包括脸颊暗黄的皮肤整体的提亮了～皮肤看起来通透健康。[萌萌哒R][萌萌哒R][萌萌哒R]  	  而且她还涵有大马士革玫瑰精粹，珍惜东当归精粹，可以起到抗氧抗衰老的功效，令肌肤呈现丰盈饱满紧致肌肤的效果呐～～[哇R][哇R][哇R]  	  她的配方是严选的植物精华，非常的温和哦，所以像我这种敏感肌都是可以使用的夏天马上来临了，美白+抗老，赶紧安排起来了[赞R][赞R][赞R],578304004,2,608999999999999955959808,618,132168,电商笔记,中国,,,
45034,64.0,,2021-03-12 21:46:00,604b70b00000000001024782,视频笔记,"[""http://sns-img-qc.xhscdn.com/4c97d96c-5540-3f28-bbe0-72397720ab25?imageView2/2/w/1080/format/webp""]","[""852423""]",http://www.xiaohongshu.com/user/profile/5da17731000000000100b89d,146510,133179,3959,女,否,5da17731000000000100b89d,2021-04-27 20:34:00,"{""duration_seconds"":""50.0"",""board_name"":"""",""video_url"":""http://sns-video-qc.xhscdn.com/8918e8ff0225daf65d50761376e355f5a6e8e5ee_r_ln?sign\u003d64721574111b571acf3e0898143fd9d4\u0026t\u003d60898554"",""author"":""Forlin"",""board_id"":"""",""cooperation_brand"":""[]"",""goods_id_list"":""[]"",""topic_list"":""[\""我的丝巾这么玩\""]"",""video_tag"":""[\""我的丝巾这么玩\""]""}",,,194.0,https://www.xiaohongshu.com/discovery/item/604b70b00000000001024782,主贴,1809,"[""丝巾"",""开衫""]",[],"[""index_962673_967672""]",[],286,否,Forlin,1892.0,小红书,,,跟我一起玩转丝巾|二胎妈妈|健身好物分享|\n168cm&48kg|不回私信\n📮1403144116@qq.com,0,118814,2021如何用丝巾提升精致度？开衫篇1,,2021如何用丝巾提升精致度？开衫篇1    我的丝巾这么玩,Forlin,285,604b70b00000000001024782,2,127680,电商笔记,浙江  杭州,,,
